epoch,learning_rate,train_loss,train_task1_loss,train_task2_loss,train_task3_loss,val_validation_macro_f1,selection_score,patience_counter
1,0.0003,0.271166065486339,0.39864906488359325,0.14388215212335756,,0.5580826137608111,0.5580826137608111,0
2,0.0002991810233575568,0.21220518996352988,0.32435076477872354,0.10024631554061426,,0.5767968757841043,0.5767968757841043,0
3,0.0002967330663097039,0.18030378103075226,0.28363666466061577,0.07609200153843415,,0.6164242123956305,0.6164242123956305,0
4,0.0002926829491861254,0.15368242285966427,0.24551243109628992,0.06184223275995967,,0.6084670948227286,0.6084670948227286,1
5,0.00028707504591756876,0.13213647177490334,0.2118043283057586,0.052585706539524935,,0.6033725095252466,0.6033725095252466,2
6,0.00027997079786577355,0.11407418570815613,0.18288691724761294,0.045097872144213666,,0.5955057468902407,0.5955057468902407,3
7,0.0002714480406590546,0.10228610800697101,0.161604489401049,0.04258595448307023,,0.5895192218295591,0.5895192218295591,4
8,0.0002616001514088704,0.08653871010561687,0.14226282221069125,0.030336610875053974,,0.6250520037134407,0.6250520037134407,0
9,0.0002505350256506492,0.07643530090204384,0.12346213851345947,0.029247295143961457,,0.598988850276915,0.598988850276915,1
10,0.00023837389521772463,0.06522151382274088,0.10247948339012733,0.027902895031832763,,0.5959693501381921,0.5959693501381921,2
11,0.00022524999999999992,0.06037520968455963,0.09102328639774226,0.02928915169659881,,0.5996725685442044,0.5996725685442044,3
12,0.0002113071281398321,0.051139604592644924,0.0801847159211615,0.021753430614843285,,0.6012991019384808,0.6012991019384808,4
13,0.00019669804065905458,0.042145113040634584,0.06648538606769987,0.017465999235911443,,0.6366817245919879,0.6366817245919879,0
14,0.00018158279777725494,0.0355131365824382,0.05681202458067632,0.013880682008891252,,0.6183829943563205,0.6183829943563205,1
15,0.00016612700525851415,0.03287891438459298,0.052390977931729935,0.013119766305539462,,0.6258160319979171,0.6258160319979171,2
16,0.0001505,0.027741869151004007,0.041797280382940186,0.01350568496831422,,0.614518101673687,0.614518101673687,3
17,0.0001348729947414858,0.021960950150469758,0.03433832941027312,0.009116248375537794,,0.6457902500103121,0.6457902500103121,0
18,0.00011941720222274492,0.021666229929434754,0.03390502249197658,0.009141723782368522,,0.621555215199912,0.621555215199912,1
19,0.00010430195934094534,0.017620900753755848,0.02784636362784935,0.007189542551819921,,0.6170674176222812,0.6170674176222812,2
20,8.969287186016786e-05,0.016245536978254944,0.02566665402293567,0.00644813837373548,,0.6390531131581193,0.6390531131581193,3
21,7.575000000000001e-05,0.012754096165216748,0.020320043890416983,0.005205801059385311,,0.6404724592762346,0.6404724592762346,4
22,6.262610478227527e-05,0.01235922910323111,0.020927855669360028,0.0036975647472122547,,0.6335582948998486,0.6335582948998486,5
23,5.046497434935074e-05,0.010636403302809355,0.016150052769727877,0.005090328235242448,,0.6526691443073771,0.6526691443073771,0
24,3.939984859112959e-05,0.010145702206130912,0.015897156207747645,0.004180272519783625,,0.6548388332780487,0.6548388332780487,0
25,2.9551959340945373e-05,0.008505536426494846,0.013826547834597558,0.0031933590995516276,,0.6546531818381566,0.6546531818381566,1
26,2.1029202134226415e-05,0.007629524692608041,0.012616166678757429,0.002632102319265792,,0.6476670714606402,0.6476670714606402,2
27,1.3924954082431155e-05,0.0071831125214772504,0.011829957334880336,0.0024256070494841123,,0.6609282692136673,0.6609282692136673,0
28,8.317050813874547e-06,0.00673297446510887,0.010623956013438692,0.002681053693837776,,0.6600077876947723,0.6600077876947723,1
29,4.26693369029605e-06,0.007020613772516578,0.011963022379080628,0.0019485396622905549,,0.6557204301436582,0.6557204301436582,2
30,1.8189766424431266e-06,0.006406385586815661,0.010416116720360035,0.002334415106613145,,0.6569956411384946,0.6569956411384946,3
